Predictions (yhat_valid)	True Labels (y_valid_example_fold)	Input Examples (x_valid_example_fold)	Correct
0	0	Worst hour and a half of my life!Oh my gosh!  	Correct
0	1	This if the first movie I've given a 10 to in years.  	Incorrect
0	0	Didn't laugh or even smile once.  	Correct
0	0	There is no plot here to keep you going in the first place.  	Correct
0	1	You won't forget this movie!  	Incorrect
0	1	I struggle to find anything bad to say about it.  	Incorrect
0	0	This was one of the worst films i have ever seen.  	Correct
0	1	I liked this movie way too much.  	Incorrect
0	0	Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.  	Correct
0	0	It's very slow.  	Correct
0	0	But whatever it was that cost them so much, it didn't translate to quality, that's for sure.  	Correct
0	0	It was too predictable, even for a chick flick.  	Correct
1	1	All the actors give a wonderful performance, especially Jennifer Rubin as Jamie Harris, who changes from the nervous starlet in the beginning through the strange events she is part of to the cool star.  	Correct
1	1	The Songs Were The Best And The Muppets Were So Hilarious.  	Correct
0	0	& That movie was bad.  	Correct
0	0	Avoid this film at all costs.  	Correct
1	0	It probably would have been better if the director hadn't spent most of the movie showcasing his own art work, which really isn't that noteworthy.  	Incorrect
0	0	If only someone involved with it knew how to string together narrative!  	Correct
1	0	His co-stars don't fare much better, with people like Morgan Freeman, Jonah Hill, and Ed Helms just wasted.  	Incorrect
1	1	It looked like a wonderful story.  	Correct
0	1	It even has its sweet moments.  	Incorrect
0	0	And generally the lines and plot is weaker than the average episode.  	Correct
1	1	Excellently produced by one of Sci-fi's best producers Scot Vandiver !  	Correct
1	1	I do not know if this was Emilio Estevez's directorial debut, but the pacing, the interplay and development of the characters as well as some clever camera work surrounding the character Estevez plays all suggest a natural eye.  	Correct
1	1	The art style has the appearance of crayon/pencil drawings and is wonderfully colorful and fanciful.  	Correct
1	1	This film highlights the fundamental flaws of the legal process, that it's not about discovering guilt or innocence, but rather, is about who presents better in court.  	Correct
0	0	How this piece of trash was ever released is beyond me: the acting, the story, the characters, the supposedly special effects, etc...it's ALL wrong.  	Correct
0	0	I saw this movie and I thought this is a stupid movie.  	Correct
1	1	This movie was kind of long in length, but I enjoyed every minute of it.  	Correct
1	1	But, Kevin Spacey is an excellent, verbal tsunami as Buddy Ackerman  and totally believable because he is a great actor.  	Correct
0	1	Don't miss it.  	Incorrect
1	1	"It was that year, however, that reminded us that Huston was still at the top of his game as evinced by his faithful adaptation of James Joyce's acclaimed novella ""The Dead.  "	Correct
0	0	The sets are so bad, they wouldn't look out of place on a Thunderbirds episode.  	Correct
1	1	Cinematography noteworthy including fine views of Barcelona and its famed Gaudi towers.  	Correct
0	0	Not only did it only confirm that the film would be unfunny and generic, but it also managed to give away the ENTIRE movie; and I'm not exaggerating - every moment, every plot point, every joke is told in the trailer.  	Correct
0	0	Everything Captain Howdy says is either laughable or just plain stupid.  	Correct
0	0	What is even more stupid is that who had thought an idea that there should be a volcano in Los Angeles?  	Correct
0	1	This movie is so awesome!  	Incorrect
1	1	The attention given to every character, and complex psychological portrayals, detailing loyalty, treachery, love, and hope, are tremendous.  	Correct
1	1	I'd advise anyone to go and see it.  	Correct
1	1	This is truly an art movie--it actually has a lot of art in it.  	Correct
0	1	I would have casted her in that role after ready the script.  	Incorrect
1	1	He is an amazing film artist, one of the most important whoever lived.  	Correct
1	1	It is a very well acted and done TV Movie.  	Correct
1	1	The film is well paced, understated and one of the best courtroom documentaries I've seen.  	Correct
1	1	Now you know why I gave it a 10+!  	Correct
1	1	In addition to having one of the most lovely songs ever written, French Cancan also boasts one of the cutest leading ladies ever to grace the screen.  	Correct
0	1	How can anyone in their right mind ask for anything more from a movie than this?  	Incorrect
0	0	But what really made it unwatchable was the direction.  	Correct
1	1	The story is also both funny and poignant at times.  	Correct
1	1	He is one of my favourite directors, and one of the most talented directors in the history of cinema.  	Correct
1	1	Also the music by Mark Snow is possibly the best score I've ever heard.  	Correct
0	0	The movie was so boring, that I sometimes found myself occupied peaking in the paper instead of watching (never happened during a Columbo movie before!  	Correct
0	0	End of Days is one of the worst big-budget action movies I've ever seen.  	Correct
0	1	I think it was Robert Ryans best film, because he portrayed someone like my father, and he was a schizophrenic in real life,(my father) although he never murdered anyone but was affected more so during the second world war which made him worse.  	Incorrect
1	1	Damian is so talented and versatile in so many ways of writing and portraying different Characters on screen.  	Correct
0	0	The attempts at humor were pitiful and story is so awful it dosen't bear thinking about which basically involves a Vulcan stealing the Enterprise to find god (seriously) I just didn't care about any of this film and oh not to mention Uhura does a belly dance to distract male guards.  	Correct
0	0	Which is precisely why I am giving it such a bad review!  	Correct
1	1	Macbeth (Jason Connery) moved me to tears with his final monolog (out brief candle, out)He gave the sphere of moral decay and dark forces a human face, which makes it the more interesting.  	Correct
0	1	Anne Heche was utterly convincing.  	Incorrect
0	1	All things considered, a job very well done.  	Incorrect
1	0	But the premise of the film was so ridiculous: that the President of the U.S.  	Incorrect
0	1	But I thought his acting was skilled.  	Incorrect
1	1	The memories are murky but I can only say that I enjoyed every single episode and product related to the show.  	Correct
1	0	I'm so sorry but I really can't recommend it to anyone.  	Incorrect
0	0	The use of slow-motion needlessly repeats itself throughout the movie but is well backed up by bad acting (and bad is a kind word here), no continuity, scenes that are thrown in for no reason whatsoever, vehicles that looked like they were made from a Corn Flakes box and a directorial style that bordered on stupidity.  	Correct
0	0	Everything about it is just bad.  	Correct
0	0	Let's start with all the problemsthe acting, especially from the lead professor, was very, very bad.  	Correct
0	0	I'll even say it again  this is torture.  	Correct
1	0	So mediocre in every aspect that it just becomes a dull, uninteresting mess, this is one of the most forgettable movies I've seen.  	Incorrect
0	1	The things that the four kids get themselves into is absolutely hilarious to watch.  	Incorrect
0	1	The only thing really worth watching was the scenery and the house, because it is beautiful.  	Incorrect
1	0	The casting is also horrible, cause all you see is a really really BAD Actors, period.  	Incorrect
0	0	About half way through this film I started to dislike it.  	Correct
1	1	If good intentions made a film great, then this film might be one of the greatest films ever made.  	Correct
0	0	I'm translating movies for a living and this is the first movie in my 5-year working experience that I found offensive to my intelligence.  	Correct
1	1	Still it's quite interesting and entertaining to follow.  	Correct
0	1	""" In fact, it's hard to remember that the part of Ray Charles is being acted, and not played by the man himself.  "	Incorrect
1	1	The movie is not completely perfect but 'Titta Di Girolamo' will stay with you for a long time after the vision of the movie.  	Correct
1	1	I rather enjoyed it.  	Correct
0	0	A cheap and cheerless heist movie with poor characterisation, lots of underbite style stoic emoting (think Chow Yun Fat in A Better Tomorrow) and some cheesy clichés thrown into an abandoned factory ready for a few poorly executed flying judo rolls a la John Woo.  	Correct
0	0	Trouble is, the writing and directing make it impossible to establish those things that make a movie watchable, like character, story, theme and so on.  	Correct
0	0	It is zillion times away from reality.  	Correct
1	1	Overall I rate this movie a 10 out of a 1-10 scale.  	Correct
0	0	It's dumb and pointless, and a complete waste of time.  	Correct
1	1	I will never forget it now.  	Correct
0	1	He's a national treasure.  	Incorrect
1	1	""" With great sound effects, and impressive special effects, I can't recommend this movie enough.  "	Correct
1	0	It was so BORING!  	Incorrect
1	1	Punishment Park is a brilliant piece of cinema.  	Correct
1	1	The cast is always entertaining as usual.  	Correct
0	0	About 30 minutes of footage is wasted to show mediocre elderly actors awkwardly babbling overwrought pseudo-Satanic gibberish corny enough to make a teen Goth blush, almost always in Olde English, and sometimes in Latin that may or may not be made up words.  	Correct
0	0	Seriously, it's not worth wasting your, or your kid's time on.  	Correct
1	1	Thanks good a movie like this was done and released.  	Correct
1	1	She's poised and amazing.  	Correct
1	1	It features an outlandish array of memorable, psychotic but lovable nuts.  	Correct
1	1	This movie is great--especially if you enjoy visual arts.  	Correct
1	1	"People who like European films and ""art movies"" will like this movie.  "	Correct
0	1	Conceptually, the show offers a little bit of everything- and for just about everybody (parents, kids, fantasy and/or fx fans).  	Incorrect
1	0	The film has an ultra-cheap look to it.  	Incorrect
1	1	I am so pleased to know such a modern day genius is out there , letting is passion for Art drive him and taking us as an audience with him.  	Correct
0	1	The movie was very interesting from beginning to the end.  	Incorrect
0	0	Hence the whole story lacks a certain energy.  	Correct
0	1	Having to humour him just to get by and get through the day was so apt.  	Incorrect
0	0	"I cannot believe that the actors agreed to do this ""film"".  "	Correct
0	0	The plot was the same as pretty much every other cheap horror.  	Correct
1	1	This is a witty and delightful adaptation of the Dr Seuss book, brilliantly animated by UPA's finest and thoroughly deserving of its Academy Award.  	Correct
1	1	) some great music, and terrific scenery.  	Correct
1	1	I thought Errol Flynn was brilliant as Custer and has since become my favourite actor!  	Correct
1	0	In fact, this stinker smells like a direct-to-video release.  	Incorrect
0	1	A world better than 95% of the garbage in the theatres today.  	Incorrect
0	0	Top line: Don't waste your time and money on this one, its as bad as it comes.  	Correct
1	1	Shot in the Southern California desert using his patent faux documentary style, Watkins creates a film like no other.  	Correct
0	1	It is not just a cult... it is a cult CLASSIC.  	Incorrect
1	1	The attractive set used throughout most of the film is an eye-pleasing gem.  	Correct
1	1	This is the number one best TH game in the series.  	Correct
1	1	In other words, the content level of this film is enough to easily fill a dozen other films.  	Correct
0	0	All the pretty pictures in the world cannot make up for a piece of work that is flawed at the core.  	Correct
0	0	Nothing new there.  	Correct
1	0	On the negative, it's insipid enough to cause regret for another 2 hours of life wasted in front of the screen.  	Incorrect
1	1	Ursula Burton's portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church.  	Correct
1	0	Aside from it's terrible lead, this film has loads of other debits.  	Incorrect
0	0	Exceptionally bad!  	Correct
1	1	Yet, I enjoy watching it.  	Correct
0	0	It didn't make me scared, horrified, or make me sympathetic towards the characters; it was simply annoying.  	Correct
1	1	However, after seeing the short again after about 25 years, I was amazed at how timeless the film actually is.  	Correct
0	0	It's like a bad two hour TV movie.  	Correct
0	1	The aerial scenes were well-done.  	Incorrect
1	1	Still, it makes up for all of this with a super ending that depicts a great sea vessel being taken out by the mighty frost.  	Correct
0	1	I rate this movie 9/10.  	Incorrect
0	1	There are massive levels, massive unlockable characters... it's just a massive game.  	Incorrect
0	1	But this movie really got to me.  	Incorrect
1	0	The only real effects work is the presence of all the animals, and the integration of those into the scenes is some of the worst and most obvious blue/green-screen work I've ever seen.  	Incorrect
1	1	The rest of the cast also play well.  	Correct
1	1	"The writers were ""smack on"" and I think the best actors and actresses were a bonus to the show.These characters were so real.  "	Correct
0	0	I never walked out of a movie faster.  	Correct
1	0	It will drive you barking mad!  	Incorrect
1	1	STEAMBOAT WILLIE is an amazingly important film to our cinema history.  	Correct
1	1	You wont regret it!  	Correct
1	1	You truly take this journey through the eyes and soul of a child.  	Correct
1	1	Despite the pans of reviewers, I liked this movie.  	Correct
1	0	Everything stinks.  	Incorrect
1	1	Simply beautiful.  	Correct
0	0	Very disappointed and wondered how it could be in the Oscar shortlist.  	Correct
0	0	The dialogue sucked.  	Correct
1	1	Plus, it was well-paced and suited its relatively short run time.  	Correct
1	0	Artless camera-work endlessly presents us with the ugliest setting imaginable, i.e.  	Incorrect
0	0	It is just the sort of pap that is screened in the afternoon to punish the unemployed for not having jobs.  	Correct
0	0	The movie lacks visual interest, drama, expression of feeling, and celebration of the very patriotism that underlines the narrative.  	Correct
1	1	It is very educational for children 1 to 8 years old.  	Correct
1	1	Secondly, Hitchcock pretty much perfected the thriller and chase movie.  	Correct
1	0	These are the central themes of the film and they are handled ineptly, stereotypically and with no depth of imagination.  	Incorrect
1	0	One of the most disappointing aspects is the lack of notable gore.  	Incorrect
0	1	The suspense builders were good, & just cross the line from G to PG.  	Incorrect
0	0	Avoid at any and all costs.  	Correct
0	0	The CG opening sequence in space looked like it could have been created on Microsoft Slideshow for God's sake!  	Correct
0	0	The performances are not improved by improvisation, because the actors now have twice as much to worry about: not only whether they're delivering the line well, but whether the line itself is any good.  	Correct
0	0	Otherwise, don't even waste your time on this.  	Correct
0	0	Why was this film made?  	Correct
0	0	But it wasn't anything at all just one big yawn...  	Correct
