Predictions (yhat_valid)	True Labels (y_valid_example_fold)	Input Examples (x_valid_example_fold)	Correct
0	0	If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.	Correct
1	1	I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.	Correct
0	0	if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.	Correct
0	0	Pretty piece of junk.	Correct
0	1	every thing on phone work perfectly, she like it.	Incorrect
0	1	The shipping time was also very quick!	Incorrect
0	0	I can't use this case because the smell is disgusting.	Correct
1	1	Works great!.	Correct
0	0	I bought this phone as a replacement for my StarTac and have regretted it since.	Correct
0	0	Chinese Forgeries Abound!.	Correct
0	0	It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.	Correct
1	0	All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.	Incorrect
1	1	I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.	Correct
1	1	Very happy with this product.	Correct
0	0	Can't store anything but phone numbers to SIM.	Correct
0	0	Performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call.	Correct
0	0	Don't trust their website and don't expect any helpful support.	Correct
1	0	I've bought $5 wired headphones that sound better than these.	Incorrect
0	0	Then a few days later the a puff of smoke came out of the phone while in use.	Correct
1	1	Good audio quality.	Correct
0	1	:-)Oh, the charger seems to work fine.	Incorrect
1	0	I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.	Incorrect
0	1	Appears to actually outperform the original battery from China that came with my V325i.	Incorrect
0	1	It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned.	Incorrect
1	1	It's a great item.	Correct
1	1	Great Pocket PC / phone combination.	Correct
0	0	Steer clear of this product and go with the genuine Palm replacementr pens, which come in a three-pack.	Correct
0	0	Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.	Correct
0	1	The battery is working well as a replacement for the original that came with the phone over 2 years ago.	Incorrect
1	1	I had ordered a motorola data cable, got a very well finished and working product.	Correct
1	1	I would highly recommend this.	Correct
1	1	The sound quality is good and functionality is awesome.	Correct
0	0	It doesn't make you look cool.	Correct
1	1	This item is great, installed it, let it charged up overnite and it has been working good every since with no problems	Correct
0	0	I contacted the company and they told me that, although the unit was still under warranty, if I couldn't produce my receipt I was out of luck.	Correct
0	0	Not impressed.	Correct
0	0	Reception is terrible and full of static.	Correct
1	1	Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch.	Correct
1	1	I'm happy about this purchase- good quality and low price.	Correct
0	1	A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.	Incorrect
1	1	The reception is excellent!	Correct
1	1	Good product, good seller.	Correct
1	1	Excellent dual-purpose headset.	Correct
1	1	And I just love the colors!	Correct
1	1	Setup went very smoothly.	Correct
0	1	I was very excited to get this headset because I thought it was really cute.	Incorrect
1	1	Authentic leather with nice shine and comfort .I recommend you this case !!	Correct
1	1	It is well made, easy to access the phone and has a handy, detachable belt clip.	Correct
1	0	Lousy product.	Incorrect
1	1	Good case, Excellent value.	Correct
1	1	I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!	Correct
1	1	Excellent Phone.	Correct
0	0	The only thing that I think could improve is the sound leaks out from the headset.	Correct
0	0	Soyo technology sucks.	Correct
1	1	Worked perfectly!	Correct
1	1	This is a great little item.	Correct
0	0	If there is a wind, it is completely useless.	Correct
0	0	This phone might well be the worst I've ever had in any brand.	Correct
1	1	That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.	Correct
0	1	They keep getting better and better (this is my third one and I've had numerous Palms too).	Incorrect
1	1	This little device has transformed my organizational capability and made my life a whole lot easier.	Correct
0	0	the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!	Correct
1	1	nice leather.	Correct
1	1	I love all the features and form factor.	Correct
0	0	So I had to take the battery out of the phone put it all back together and then restart it.	Correct
0	0	Verizon's bills, however, are difficult to understand even though their pricing plans are simple.	Correct
0	0	Using all earpieces, left or right, this thing will not stay on my ear.	Correct
0	0	The case is a flimsy piece of plastic and has no front or side protection whatsoever.	Correct
0	0	I would have given no star if I was able.	Correct
0	0	Battery lasts only a few hours.	Correct
1	1	Overall, I would recommend this phone over the new Walkman.	Correct
1	1	The color is even prettier than I thought it would be, and the graphics are incredibly sharp.	Correct
0	0	THAT one didn't work either.	Correct
0	0	WARNING - DO NOT BUY!!.	Correct
1	1	Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.	Correct
0	0	Think it over when you plan to own this one!This sure is the last MOTO phone for me!	Correct
0	1	Just what I wanted.	Incorrect
1	1	Good case!.	Correct
0	1	This is cool because most cases are just open there allowing the screen to get all scratched up.	Incorrect
1	1	These are fabulous!	Correct
1	0	My phone sounded OK ( not great - OK), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it.	Incorrect
0	0	We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement	Correct
0	0	Do Not Buy for D807...wrongly advertised for D807.	Correct
1	1	My phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.	Correct
0	0	The nano stated it.My son was dissapointed.	Correct
0	1	Exactly what I wanted.	Incorrect
1	1	You can't beat the price on these.	Correct
1	1	Any ring tone..Overall good phone to buy..	Correct
0	0	How can that be?The audio quality is poor.	Correct
1	1	Works as described.	Correct
1	1	Absolutely great.	Correct
0	0	After receiving and using the product for just 2 days it broke.	Correct
0	0	disappointed.	Correct
1	1	Great for iPODs too.	Correct
1	1	The headsets are easy to use and everyone loves them.	Correct
1	1	For the price this was a great deal.	Correct
1	1	The reception has been generally good.	Correct
1	1	great headset, very impressed - H500.	Correct
1	1	Everything about it is fine and reasonable for the price i.e.	Correct
0	0	They refuse to refund or replace.	Correct
1	1	I love this phone , It is very handy and has a lot of features .	Correct
0	1	Worth every penny.	Incorrect
0	0	I didn't want the clip going over the top of my ear, causing discomfort.	Correct
1	1	Really good product.	Correct
0	0	Doesn't hold charge.	Correct
0	0	First off the reception sucks, I have never had more than 2 bars, ever.	Correct
0	1	This case has passed the one year mark and while it shows signs of wear, it is 100% functional.	Incorrect
1	1	Very good stuff for the price.	Correct
1	1	My headset works just peachy-keen.	Correct
0	0	Not worth it.	Correct
1	1	The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.	Correct
0	0	Poor Construction.	Correct
1	1	I love this phone!.	Correct
1	1	Happy so far!.	Correct
1	1	I searched the Internet, and found this one to be the best value.	Correct
1	1	Great sound and service.	Correct
0	1	The phone loads super!	Incorrect
1	0	This is a simple little phone to use, but the breakage is unacceptible.	Incorrect
0	0	Do not make the same mistake as me.	Correct
0	0	Don't waste your $$$ on this one.	Correct
1	1	Works well.	Correct
0	0	This is essentially a communications tool that does not communicate.	Correct
0	0	Basically the service was very bad.	Correct
1	1	The file browser offers all the options that one needs.Handsfree is great.	Correct
0	0	I'm a bit disappointed.	Correct
1	1	Better than you'd expect.	Correct
0	0	The text messaging feature is really tricky to use.	Correct
1	1	The case is great and works fine with the 680.	Correct
1	1	My colleague & I now get great reception.A little expensive, but performance is great.	Correct
1	1	Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.	Correct
1	1	Iam very pleased with my purchase.	Correct
1	1	Very well made and fits my Surefire GX2 perfectly.	Correct
0	0	Waste of 13 bucks.	Correct
0	1	I like the fact that it rests lightly against your ear, rather than inside.	Incorrect
1	1	Very pleased with this headset.	Correct
0	0	Improper description.... I had to return it.	Correct
0	0	The instructions didn't explain that a microphone jack could be used.	Correct
1	1	It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.	Correct
1	1	Product was excellent and works better than the verizon one and Boy was it cheaper!	Correct
1	1	But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.	Correct
1	1	I love this thing!	Correct
0	0	However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls.	Correct
1	1	I wear it everyday and it holds up very well.	Correct
0	0	Buttons are too small.	Correct
0	0	However I needed some better instructions.	Correct
1	1	Highly recommend for any one who has a blue tooth phone.	Correct
1	0	Verizon tech support walked my through a few procedures, none of which worked and I ended up having to do a hard re-set, wiping out all my data.	Incorrect
0	0	"The design is very odd, as the ear ""clip"" is not very comfortable at all."	Correct
0	0	Defective crap.	Correct
1	1	Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.	Correct
1	1	This frog phone charm is adorable and very eye catching.	Correct
0	0	It's not what it says it is.	Correct
0	0	Very unreliable service from T-mobile !	Correct
1	1	This item is fantastic and works perfectly!	Correct
0	0	After a year the battery went completely dead on my headset.	Correct
1	0	The loudspeaker option is great, the bumpers with the lights is very ... appealing.	Incorrect
1	0	Very Displeased.	Incorrect
0	0	It was an inexpensive piece, but I would still have expected better quality.	Correct
1	0	It is unusable in a moving car at freeway speed.	Incorrect
1	0	The cable looks so thin and flimsy, it is scary.	Incorrect
